code	severity	category	warningWave	messageKey	helpKey	argumentSchema	suppressible	documentationUrl	owner	quickFixProviders	editionIntroduced	editionDeprecated
POP0001	Error	Syntax	-	syntax.invalidCharacter	-	Character	false	diagnostics/POP0001	syntax	-	1	-
POP0002	Error	Syntax	-	syntax.unexpectedToken	-	SyntaxExpectation,Token	false	diagnostics/POP0002	syntax	-	1	-
POP0003	Error	Syntax	-	syntax.missingNamespace	fix.addNamespace	-	false	diagnostics/POP0003	syntax	-	1	-
POP0004	Error	Syntax	-	syntax.unsupportedExport	fix.replaceExportWithPublic	Identifier	false	diagnostics/POP0004	syntax	replaceExportWithPublic	1	-
POP0006	Error	Syntax	-	syntax.unterminatedString	-	-	false	diagnostics/POP0006	syntax	-	1	-
POP1000	Error	Resolution	-	resolution.invalidDeclaration	-	-	false	diagnostics/POP1000	resolve	-	1	-
POP1001	Error	Resolution	-	resolution.duplicateDeclaration	-	Identifier	false	diagnostics/POP1001	resolve	-	1	-
POP1002	Error	Resolution	-	resolution.unknownName	-	Identifier	false	diagnostics/POP1002	resolve	-	1	-
POP1003	Error	Resolution	-	resolution.ambiguousName	-	Identifier	false	diagnostics/POP1003	resolve	-	1	-
POP1004	Error	Resolution	-	resolution.inaccessibleName	-	Identifier	false	diagnostics/POP1004	resolve	-	1	-
POP2001	Error	Type	-	types.wrongArity	-	Identifier,Unsigned,Unsigned	false	diagnostics/POP2001	types	-	1	-
POP2002	Error	Type	-	types.duplicateTypeParameter	-	Identifier	false	diagnostics/POP2002	types	-	1	-
POP2003	Error	Type	-	types.mismatch	-	Identifier,Identifier	false	diagnostics/POP2003	types	-	1	-
POP2004	Error	Type	-	types.wrongValueArity	-	Identifier,Unsigned,Unsigned	false	diagnostics/POP2004	types	-	1	-
POP2005	Error	Type	-	types.invalidOperator	-	Identifier,Identifier	false	diagnostics/POP2005	types	-	1	-
POP2006	Error	Type	-	types.notAllPathsReturn	-	-	false	diagnostics/POP2006	types	-	1	-
POP2007	Error	Type	-	types.aggregateNeedsContext	-	-	false	diagnostics/POP2007	types	-	1	-
POP2008	Error	Type	-	types.missingRecordField	-	Identifier	false	diagnostics/POP2008	types	-	1	-
POP2009	Error	Type	-	types.unknownRecordField	-	Identifier	false	diagnostics/POP2009	types	-	1	-
POP2010	Error	Type	-	types.duplicateRecordField	-	Identifier	false	diagnostics/POP2010	types	-	1	-
POP2011	Error	Type	-	types.duplicateAttributeArgument	-	Identifier	false	diagnostics/POP2011	types	-	1	-
POP2012	Error	Type	-	types.unknownAttributeArgument	-	Identifier	false	diagnostics/POP2012	types	-	1	-
POP2013	Error	Type	-	types.numericLiteralOutOfRange	-	Identifier,Identifier	false	diagnostics/POP2013	types	-	1	-
POP2014	Error	Type	-	types.wrongClassMethodOwner	-	Identifier,Identifier	false	diagnostics/POP2014	types	-	1	-
POP2015	Error	Type	-	types.duplicateInterfaceMethod	-	Identifier	false	diagnostics/POP2015	types	-	1	-
POP2016	Error	Type	-	types.emptyInterface	-	Identifier	false	diagnostics/POP2016	types	-	1	-
POP2017	Error	Type	-	types.invalidInterfaceImplementation	-	Identifier	false	diagnostics/POP2017	types	-	1	-
POP2018	Error	Type	-	types.missingInterfaceMethod	fix.createInterfaceMembers	Identifier,Identifier,Identifier	false	diagnostics/POP2018	types	createInterfaceMembers	1	-
POP2019	Error	Type	-	types.incompatibleInterfaceMethod	-	Identifier,Identifier,Identifier,Identifier	false	diagnostics/POP2019	types	-	1	-
POP2020	Error	Type	-	types.missingMatchCases	fix.addMissingMatchCases	Identifier	false	diagnostics/POP2020	types	addMissingMatchCases	1	-
POP2021	Error	Type	-	types.duplicateMatchCase	-	Identifier	false	diagnostics/POP2021	types	-	1	-
POP2022	Error	Type	-	types.foreignMatchCase	-	Identifier	false	diagnostics/POP2022	types	-	1	-
POP2023	Error	Type	-	types.duplicateBinding	-	Identifier	false	diagnostics/POP2023	types	-	1	-
POP4001	Error	CompileTime	-	compileTime.ineligibleConstantExpression	-	Identifier	false	diagnostics/POP4001	compile-time	-	1	-
POP4002	Error	CompileTime	-	compileTime.constantIntegerOverflow	-	Identifier	false	diagnostics/POP4002	compile-time	-	1	-
POP4003	Error	CompileTime	-	compileTime.constantDivisionByZero	-	Identifier	false	diagnostics/POP4003	compile-time	-	1	-
POP4004	Error	CompileTime	-	compileTime.functionNotEligible	-	Identifier	false	diagnostics/POP4004	compile-time	-	1	-
POP4005	Error	CompileTime	-	compileTime.forbiddenEffect	-	Identifier,Identifier	false	diagnostics/POP4005	compile-time	-	1	-
POP4006	Error	CompileTime	-	compileTime.cycle	-	Identifier	false	diagnostics/POP4006	compile-time	-	1	-
POP4007	Error	CompileTime	-	compileTime.resourceLimit	-	Identifier,Unsigned	false	diagnostics/POP4007	compile-time	-	1	-
POP6400	Warning	Style	1	documentation.unsafeXml	-	-	true	diagnostics/POP6400	documentation	-	1	-
POP6401	Warning	Style	1	documentation.malformedXml	-	-	true	diagnostics/POP6401	documentation	-	1	-
